"cost limit($)"	"min latency(ms)"	"allocation.x(MB)"	"allocation.y(MB)"	"miss ratio"	"total allocation"	"NA"
1.29	1.96	49	49	49	448.58	"join"
1.8	1.85	49	1123.68	49	141.21	"join"
2.5	0.96	49	1123.68	110.47	294.89	"join"
2.99	0.85	49	2198.37	79.74	417.84	"join"
3.99	0.77	49	3273.05	110.47	387.11	"join"
8.99	0.62	49	9721.16	171.95	571.53	"join"
13.92	0.59	49	16169.26	233.42	633	"join"
18.87	0.59	49	20468	448.58	633	"join"
23.99	0.58	1123.68	16169.26	202.68	448.58	"join"
28.77	0.58	1123.68	20468	387.11	633	"join"
30.87	0.58	1123.68	20468	602.26	633	"join"
38.96	0.58	2198.37	20468	356.37	633	"join"
41.36	0.58	2198.37	20468	602.26	633	"join"
48.86	0.58	3273.05	20468	294.89	633	"join"
51.86	0.58	3273.05	20468	602.26	633	"join"
58.99	0.58	4347.74	20468	264.16	540.79	"join"
62.35	0.58	4347.74	20468	602.26	633	"join"
62.35	0.58	4347.74	20468	602.26	633	"join"
72.85	0.58	5422.42	20468	602.26	633	"join"
72.85	0.58	5422.42	20468	602.26	633	"join"
83.34	0.58	6497.11	20468	602.26	633	"join"
83.34	0.58	6497.11	20468	602.26	633	"join"
93.84	0.58	7571.79	20468	602.26	633	"join"
93.84	0.58	7571.79	20468	602.26	633	"join"
103.73	0.58	8646.47	20468	540.79	633	"join"
104.33	0.58	8646.47	20468	602.26	633	"join"
113.93	0.58	9721.16	20468	510.05	633	"join"
114.83	0.58	9721.16	20468	602.26	633	"join"
123.82	0.58	10795.84	20468	448.58	633	"join"
125.32	0.58	10795.84	20468	602.26	633	"join"
134	0.58	11870.53	20468	417.84	602.26	"join"
135.82	0.58	11870.53	20468	602.26	633	"join"
143.91	0.58	12945.21	20468	356.37	633	"join"
146.31	0.58	12945.21	20468	602.26	633	"join"
146.31	0.58	12945.21	20468	602.26	633	"join"
156.81	0.58	14019.89	20468	602.26	633	"join"
156.81	0.58	14019.89	20468	602.26	633	"join"
167.3	0.58	15094.58	20468	602.26	633	"join"
167.3	0.58	15094.58	20468	602.26	633	"join"
177.8	0.58	16169.26	20468	602.26	633	"join"
177.8	0.58	16169.26	20468	602.26	633	"join"
188.29	0.58	17243.95	20468	602.26	633	"join"
188.29	0.58	17243.95	20468	602.26	633	"join"
198.79	0.58	18318.63	20468	602.26	633	"join"
