"size.L1"	"size.L2i"	"mr.L1"	"mr.L2"	"size.L2e"	"cost"	"latency"
2950	14750	0.0745435317120623	0.0574025119814995	11800	36.64453125	0.67
2420	12100	0.0776749263424125	0.0583786864846416	9680	30.0609375	0.68
2090	10450	0.0800205778988327	0.0593871333398342	8360	25.96171875	0.69
1870	9350	0.0818643387401575	0.0603624188599509	7480	23.22890625	0.7
1660	8300	0.0839241356370656	0.0613681589090909	6640	20.6203125	0.71
1500	7500	0.0856547393333333	0.0623837325631068	6000	18.6328125	0.72
1370	6850	0.0873204930588235	0.0633522757309942	5480	17.01796875	0.73
1250	6250	0.0888981926254826	0.0643591412280702	5000	15.52734375	0.74
1150	5750	0.0905135478378378	0.0653853133333333	4600	14.28515625	0.75
1060	5300	0.0919673675289575	0.0663603133333333	4240	13.1671875	0.76
980	4900	0.0933834200854701	0.0673818653943525	3920	12.1734375	0.77
910	4550	0.0948908551282051	0.0683983410516066	3640	11.30390625	0.78
840	4200	0.09645041	0.0694148167088608	3360	10.434375	0.79
780	3900	0.0978104795652174	0.0704288880039139	3120	9.6890625	0.8
730	3650	0.0991043441463415	0.0713500328180039	2920	9.06796875	0.81
680	3400	0.100683494552846	0.0724096163035019	2720	8.446875	0.82
640	3200	0.101946814878049	0.0733075073540856	2560	7.95	0.83
600	3000	0.103272863703704	0.0742664383268483	2400	7.453125	0.84
560	2800	0.10463654962963	0.0753748118677043	2240	6.95625	0.85
530	2650	0.105659314074074	0.0762060920233463	2120	6.58359375	0.86
490	2450	0.107023	0.0774616852918288	1960	6.08671875	0.87
470	2350	0.108055589655172	0.0781724887937743	1880	5.83828125	0.88
440	2200	0.109604474137931	0.0792386940466926	1760	5.465625	0.89
410	2050	0.111294657666667	0.0803048992996109	1640	5.09296875	0.9
390	1950	0.112455701	0.0811556993700787	1560	4.84453125	0.91
360	1800	0.114371813333333	0.0824843981889764	1440	4.471875	0.92
340	1700	0.115823768888889	0.083500981969112	1360	4.2234375	0.93
330	1650	0.116549746666667	0.0840299240540541	1320	4.09921875	0.94
310	1550	0.118001702222222	0.0850878082239382	1240	3.85078125	0.95
290	1450	0.11976733704918	0.0862954138431373	1160	3.60234375	0.96
280	1400	0.120658409180328	0.0869360883529412	1120	3.478125	0.97
260	1300	0.122440553442623	0.088217437372549	1040	3.2296875	0.98
250	1250	0.123331625573771	0.0888981926254826	1000	3.10546875	0.99
230	1150	0.125819177692308	0.0905135478378378	920	2.85703125	1
220	1100	0.127100874285714	0.0913212254440154	880	2.7328125	1.01
210	1050	0.128377495714286	0.0921289030501931	840	2.60859375	1.02
200	1000	0.129654117142857	0.0929527243589744	800	2.484375	1.03
190	950	0.131129623714286	0.0940294636752137	760	2.36015625	1.04
180	900	0.132903458	0.095106202991453	720	2.2359375	1.05
170	850	0.134677292285714	0.0962237317391304	680	2.11171875	1.06
160	800	0.136451126571429	0.0973571230434783	640	1.9875	1.07
150	750	0.138540673333333	0.0984905143478261	600	1.86328125	1.08
140	700	0.140665299259259	0.100051834390244	560	1.7390625	1.1
130	650	0.142997749411765	0.101630984796748	520	1.61484375	1.12
120	600	0.146161496470588	0.103272863703704	480	1.490625	1.13
110	550	0.149218115833333	0.104977471111111	440	1.36640625	1.15
100	500	0.152522416	0.106682078518519	400	1.2421875	1.17
90	450	0.156654602666667	0.109088179310345	360	1.11796875	1.19
80	400	0.162505907692308	0.111875179333333	320	0.99375	1.22
70	350	0.16879245	0.115097791111111	280	0.86953125	1.25
60	300	0.17623044	0.118876264918033	240	0.7453125	1.29
50	250	0.188021293333333	0.123331625573771	200	0.62109375	1.33
40	200	0.338532408163265	0.129654117142857	160	0.496875	1.41
30	150	0.503899306122449	0.138540673333333	120	0.37265625	1.51
20	100	0.669266204081633	0.152522416	80	0.2484375	1.67
10	50	0.834633102040816	0.188021293333333	40	0.12421875	2.03
0	0	1	1	0	0	10
