"latency limit(ms)"	"min cost($)"	"allocation.x(MB)"	"allocation.y(MB)"	"miss ratio"	"total allocation(MB)"
1.2	8.98	604.56	315.32	12.11	919.88
1.4	4.83	251.02	243.51	14.09	494.53
1.6	3.56	124.76	239.52	16.13	364.27
1.79	2.92	99.51	199.62	18.09	299.12
1.99	2.52	74.25	183.66	20.1	257.91
2.19	2.32	74.25	163.71	22.15	237.96
2.38	2.12	49	167.7	24.07	216.7
2.6	1.96	49	151.74	26.24	200.74
2.77	1.88	49	143.76	28.01	192.76
2.95	1.8	49	135.78	29.78	184.78
3.12	1.73	49	127.8	31.55	176.8
3.36	1.65	49	119.82	33.98	168.82
3.53	1.61	49	115.83	35.68	164.83
3.7	1.57	49	111.84	37.37	160.84
3.86	1.53	49	107.85	39.02	156.85
4.03	1.49	49	103.86	40.66	152.86
4.23	1.45	49	99.87	42.72	148.87
4.54	1.41	49	95.88	45.84	144.88
4.54	1.41	49	95.88	45.84	144.88
4.85	1.38	49	91.89	48.95	140.89
5.16	1.34	49	87.9	52.06	136.9
5.16	1.34	49	87.9	52.06	136.9
5.46	1.3	49	83.91	55.15	132.91
5.76	1.26	49	79.92	58.18	128.92
5.76	1.26	49	79.92	58.18	128.92
