"cost limit($)"	"min latency(ms)"	"allocation.x(MB)"	"allocation.y(MB)"	"miss ratio"	"total allocation"
0.99	8.45	49	51.99	85.35	100.99
2	2.51	49	155.73	25.36	204.73
3	1.76	99.51	207.6	17.77	307.1
3.97	1.51	175.26	231.54	15.27	406.8
5	1.39	276.27	235.53	14.01	511.8
5.97	1.32	352.03	259.46	13.28	611.49
7	1.26	453.04	263.45	12.75	716.49
8	1.23	503.55	315.32	12.39	818.87
9	1.2	629.81	291.38	12.1	921.19
9.97	1.18	705.57	315.32	11.86	1020.89
11	1.16	806.58	319.31	11.68	1125.89
11.98	1.14	907.59	319.31	11.53	1226.9
12.97	1.13	1008.6	319.31	11.39	1327.91
13.99	1.12	1109.61	323.3	11.31	1432.91
14.98	1.11	1210.62	323.3	11.23	1533.92
15.97	1.11	1311.63	323.3	11.16	1634.93
16.99	1.1	1412.64	327.29	11.11	1739.93
17.98	1.1	1513.65	327.29	11.07	1840.94
18.96	1.09	1614.66	327.29	11.04	1941.95
19.99	1.09	1715.67	331.28	11.02	2046.95
